2026-04-20 13:15:07 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:07 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0376 seconds
2026-04-20 13:15:07 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0135 seconds
2026-04-20 13:15:07 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0138 seconds
2026-04-20 13:15:07 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:07 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:07 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0332 seconds
2026-04-20 13:15:07 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0183 seconds
2026-04-20 13:15:07 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0187 seconds
2026-04-20 13:15:07 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:07 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:07 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0312 seconds
2026-04-20 13:15:07 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0116 seconds
2026-04-20 13:15:07 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0119 seconds
2026-04-20 13:15:07 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:08 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:08 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0336 seconds
2026-04-20 13:15:08 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0124 seconds
2026-04-20 13:15:08 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0126 seconds
2026-04-20 13:15:08 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:08 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:08 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0257 seconds
2026-04-20 13:15:08 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0110 seconds
2026-04-20 13:15:08 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0113 seconds
2026-04-20 13:15:08 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:08 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:08 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0278 seconds
2026-04-20 13:15:08 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0121 seconds
2026-04-20 13:15:08 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0123 seconds
2026-04-20 13:15:08 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:08 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:08 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0278 seconds
2026-04-20 13:15:08 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0148 seconds
2026-04-20 13:15:08 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0151 seconds
2026-04-20 13:15:08 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:08 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:08 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0311 seconds
2026-04-20 13:15:08 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0173 seconds
2026-04-20 13:15:08 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0175 seconds
2026-04-20 13:15:08 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:09 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:09 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0323 seconds
2026-04-20 13:15:09 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0139 seconds
2026-04-20 13:15:09 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0146 seconds
2026-04-20 13:15:09 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:09 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:09 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0509 seconds
2026-04-20 13:15:09 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0106 seconds
2026-04-20 13:15:09 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0110 seconds
2026-04-20 13:15:09 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:09 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:09 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0310 seconds
2026-04-20 13:15:09 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0167 seconds
2026-04-20 13:15:09 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0169 seconds
2026-04-20 13:15:09 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:09 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:09 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0306 seconds
2026-04-20 13:15:09 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0138 seconds
2026-04-20 13:15:09 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0140 seconds
2026-04-20 13:15:09 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:09 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:09 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0271 seconds
2026-04-20 13:15:09 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0122 seconds
2026-04-20 13:15:09 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0124 seconds
2026-04-20 13:15:09 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:10 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:10 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0271 seconds
2026-04-20 13:15:10 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0127 seconds
2026-04-20 13:15:10 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0130 seconds
2026-04-20 13:15:10 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:10 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:10 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0393 seconds
2026-04-20 13:15:10 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0153 seconds
2026-04-20 13:15:10 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0156 seconds
2026-04-20 13:15:10 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:10 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:10 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0272 seconds
2026-04-20 13:15:10 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0172 seconds
2026-04-20 13:15:10 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0174 seconds
2026-04-20 13:15:10 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:10 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:10 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0283 seconds
2026-04-20 13:15:10 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0126 seconds
2026-04-20 13:15:10 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0130 seconds
2026-04-20 13:15:10 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:10 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
